question,answer,sort_order,active
What is Clara's Day Dive?,"Clara's Day Dive is a neighborhood bar and patio in South Austin, Texas. We offer coffee in the morning, sports, cocktails, and an extensive selection of draft beer. We have plenty of shade and we are open late.",1,TRUE
Where is Clara's Day Dive located?,"10700 Menchaca Rd, Austin, TX 78748",2,TRUE
What are Clara's Day Dive hours?,"12pm–2am, seven days a week. Puente Coffee Co opens at 7am every day.",3,TRUE
Does Clara's Day Dive serve food?,Yes, we have a rotating food truck selection.,4,TRUE
Can I book Clara's Day Dive for a private event?,Yes. We would love to host your events. Drop us a line with details.,5,TRUE
