name,category,price,description,badge,sort_order,active
Blueberry Lemonade,Cocktails,,"Deep Eddy Lemon Vodka, Blueberry Syrup, Lemonade",,1,TRUE
Old Fashioned,Cocktails,,"Rittenhouse Rye, Demerara Syrup, Bitters",,2,TRUE
Beach Bum,Cocktails,,"Flor de Cana Rum, Coconut, Vanilla, Lime, Pinch of Salt",,3,TRUE
Seltzer Marg,Cocktails,,"Pantalones Blanco Tequila, Agave, Lime, Seltzer of Your Choice",,4,TRUE
Hugo Spritz,Cocktails,,"Tito's Vodka, Elderflower, Sparkling Wine, Mint",,5,TRUE
Scarpetta Sangiovese,Wine,,Red · Toscana," Italy",6,TRUE,
Scarpetta Bianco,Wine,,White · Toscana," Italy",7,TRUE,
Scarpetta Rosato,Wine,,Rosé · Toscana," Italy",8,TRUE,
