title,tag,body,icon,hours,website_url,order_url,sort_order,active
Guppys,Food truck,Indian Fried Chicken,food-truck,"Mon · Closed, Tues-Wed · 12pm–12am, Thur-Fri · 12pm–2am, Sat · 11am–2am, Sun · 11am–10pm",https://guppysindianfriedchicken.com/,https://www.toasttab.com/local/order/guppysatx,1,TRUE
Puente Coffee Co,Coffee,"House roasted coffee, espresso, and craft coffee drinks",coffee,"Thur-Sat · 7am–2pm, Sun · 8am–1pm, Mon-Wed · 7am–12pm",https://puente.coffee,https://puente.coffee/order,2,TRUE
